"Ward Code","Ward Name","Local Authority","Age","Population"
"E05000709","Miles Platting and Newton Heath","Manchester","7","263"
"E05000709","Miles Platting and Newton Heath","Manchester","8","245"
"E05000709","Miles Platting and Newton Heath","Manchester","9","232"
"E05000709","Miles Platting and Newton Heath","Manchester","10","207"
"E05000709","Miles Platting and Newton Heath","Manchester","11","160"
"E05000710","Moss Side","Manchester","5","347"
"E05000710","Moss Side","Manchester","6","352"
"E05000710","Moss Side","Manchester","7","313"
"E05000710","Moss Side","Manchester","8","344"
"E05000710","Moss Side","Manchester","9","316"
"E05000710","Moss Side","Manchester","10","297"
"E05000710","Moss Side","Manchester","11","266"
"E05000711","Moston","Manchester","5","197"
"E05000711","Moston","Manchester","6","178"
"E05000711","Moston","Manchester","7","200"
"E05000711","Moston","Manchester","8","212"
"E05000711","Moston","Manchester","9","189"
"E05000711","Moston","Manchester","10","184"
"E05000711","Moston","Manchester","11","171"
"E05000712","Northenden","Manchester","5","251"
"E05000712","Northenden","Manchester","6","196"
"E05000712","Northenden","Manchester","7","224"
"E05000712","Northenden","Manchester","8","182"
"E05000712","Northenden","Manchester","9","194"
"E05000712","Northenden","Manchester","10","178"
"E05000712","Northenden","Manchester","11","166"
"E05000713","Old Moat","Manchester","5","161"
"E05000713","Old Moat","Manchester","6","144"
"E05000713","Old Moat","Manchester","7","148"
"E05000713","Old Moat","Manchester","8","141"
"E05000713","Old Moat","Manchester","9","130"
"E05000713","Old Moat","Manchester","10","130"
"E05000713","Old Moat","Manchester","11","128"
"E05000714","Rusholme","Manchester","5","162"
"E05000714","Rusholme","Manchester","6","179"
"E05000714","Rusholme","Manchester","7","149"
"E05000714","Rusholme","Manchester","8","171"
"E05000714","Rusholme","Manchester","9","161"
"E05000714","Rusholme","Manchester","10","156"
"E05000714","Rusholme","Manchester","11","147"
"E05000715","Sharston","Manchester","5","295"
"E05000715","Sharston","Manchester","6","229"
"E05000715","Sharston","Manchester","7","290"
"E05000715","Sharston","Manchester","8","237"
"E05000715","Sharston","Manchester","9","225"
"E05000715","Sharston","Manchester","10","223"
"E05000715","Sharston","Manchester","11","179"
"E05000716","Whalley Range","Manchester","5","189"
"E05000716","Whalley Range","Manchester","6","187"
"E05000716","Whalley Range","Manchester","7","200"
"E05000716","Whalley Range","Manchester","8","183"
"E05000716","Whalley Range","Manchester","9","173"
"E05000716","Whalley Range","Manchester","10","174"
"E05000716","Whalley Range","Manchester","11","175"
"E05000717","Withington","Manchester","5","103"
"E05000717","Withington","Manchester","6","113"
"E05000717","Withington","Manchester","7","84"
"E05000717","Withington","Manchester","8","84"
"E05000717","Withington","Manchester","9","74"
"E05000717","Withington","Manchester","10","93"
"E05000717","Withington","Manchester","11","74"
"E05000718","Woodhouse Park","Manchester","5","219"
"E05000718","Woodhouse Park","Manchester","6","178"
"E05000718","Woodhouse Park","Manchester","7","173"
"E05000718","Woodhouse Park","Manchester","8","203"
"E05000718","Woodhouse Park","Manchester","9","188"
"E05000718","Woodhouse Park","Manchester","10","174"
"E05000718","Woodhouse Park","Manchester","11","148"
"E05000719","Alexandra","Oldham","5","260"
"E05000719","Alexandra","Oldham","6","262"
"E05000719","Alexandra","Oldham","7","237"
"E05000719","Alexandra","Oldham","8","251"
"E05000719","Alexandra","Oldham","9","222"
"E05000719","Alexandra","Oldham","10","250"
"E05000719","Alexandra","Oldham","11","216"
"E05000720","Chadderton Central","Oldham","5","122"
"E05000720","Chadderton Central","Oldham","6","143"
"E05000720","Chadderton Central","Oldham","7","162"
"E05000720","Chadderton Central","Oldham","8","141"
"E05000720","Chadderton Central","Oldham","9","119"
"E05000720","Chadderton Central","Oldham","10","152"
"E05000720","Chadderton Central","Oldham","11","148"
"E05000721","Chadderton North","Oldham","5","158"
"E05000721","Chadderton North","Oldham","6","149"
"E05000721","Chadderton North","Oldham","7","156"
"E05000721","Chadderton North","Oldham","8","178"
"E05000721","Chadderton North","Oldham","9","176"
"E05000721","Chadderton North","Oldham","10","159"
"E05000721","Chadderton North","Oldham","11","161"
"E05000722","Chadderton South","Oldham","5","137"
"E05000722","Chadderton South","Oldham","6","162"
"E05000722","Chadderton South","Oldham","7","141"
"E05000722","Chadderton South","Oldham","8","130"
"E05000722","Chadderton South","Oldham","9","142"
"E05000722","Chadderton South","Oldham","10","116"
"E05000722","Chadderton South","Oldham","11","136"
"E05000723","Coldhurst","Oldham","5","231"
"E05000723","Coldhurst","Oldham","6","222"
"E05000723","Coldhurst","Oldham","7","243"
"E05000723","Coldhurst","Oldham","8","267"
"E05000723","Coldhurst","Oldham","9","235"
"E05000723","Coldhurst","Oldham","10","237"
"E05000723","Coldhurst","Oldham","11","247"
"E05000724","Crompton","Oldham","5","123"
"E05000724","Crompton","Oldham","6","101"
"E05000724","Crompton","Oldham","7","118"
"E05000724","Crompton","Oldham","8","96"
"E05000724","Crompton","Oldham","9","102"
"E05000724","Crompton","Oldham","10","106"
"E05000724","Crompton","Oldham","11","96"
"E05000725","Failsworth East","Oldham","5","114"
"E05000725","Failsworth East","Oldham","6","110"
"E05000725","Failsworth East","Oldham","7","133"
"E05000725","Failsworth East","Oldham","8","111"
"E05000725","Failsworth East","Oldham","9","102"
"E05000725","Failsworth East","Oldham","10","127"
"E05000725","Failsworth East","Oldham","11","111"
"E05000726","Failsworth West","Oldham","5","122"
"E05000726","Failsworth West","Oldham","6","122"
"E05000726","Failsworth West","Oldham","7","114"
